Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Cash Equivalents,Debt
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,319.95,34.22,2.31,1512.38,36.50,15.07,2.71,0.01,0.00,7.05,9.93,0.58,72.81,319.56,63.78,91.82,-11.85,3.72,3.17,0.00,-0.16,19.72,21.46,,1417.71,378.56
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,643.35,,0.83,2962.07,45.63,1.31,0.23,0.00,0.00,-1.60,-3.71,0.00,,211.59,-19.85,-131.39,-419.68,0.00,0.00,0.00,-9.10,,-14.03,5.30,1676.78,2.85
Addi Industries,507852,,INE757C01021,Textiles & Apparels,Garments & Apparels,97.30,36.99,1.30,105.05,74.27,0.00,0.00,0.11,0.00,4.15,5.51,0.00,0.44,0.00,47.77,3.72,-9.45,0.00,0.00,0.00,85.02,44.92,47.89,12.74,37.77,0.00
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,162.90,10.87,2.12,328.97,50.10,0.66,-0.21,0.53,-0.48,22.39,29.60,0.00,0.23,138.05,21.84,40.65,72.53,0.04,0.15,0.00,33.94,-6.19,,,138.95,0.55
Alphageo (India),526397,ALPHAGEO,INE137C01018,Oil,Offshore Support Solution Drilling,223.00,,0.55,141.93,45.99,0.94,-0.02,0.03,0.00,-3.78,-4.32,0.00,,133.44,-11.57,-18.00,113.74,0.00,-0.10,9.58,,1.47,,,108.10,0.00
Anand Rathi Shar,544530,ARSSBL,INE549H01021,Capital Markets,Stockbroking & Allied,537.45,25.70,2.49,3388.31,69.93,0.82,-1.09,4.98,-1.12,14.18,19.82,0.62,0.51,931.49,6.74,358.17,1583.93,0.01,,5.47,2.77,8.86,,,3543.35,840.30
Andhra Petrochem,500012,,INE714B01016,Chemicals & Petrochemicals,Commodity Chemicals,39.25,,0.65,333.51,45.04,0.90,0.00,0.02,0.00,-2.75,-1.57,0.15,,519.94,21.55,-26.87,364.50,0.00,0.00,0.00,,,,5.25,242.00,78.86
Arihant Capital,511605,ARIHANTCAP,INE420B01036,Capital Markets,Stockbroking & Allied,68.71,23.66,1.71,751.03,67.67,0.05,0.01,0.02,0.01,7.69,11.00,0.54,7.35,205.84,-15.54,63.82,-124.84,0.00,-6.45,0.00,1.47,-2.74,8.82,13.42,509.24,239.14
Brightcom Group,532368,BCG,INE425B01027,IT - Services,IT Enabled Services,10.89,2.51,0.23,2197.52,18.38,1.31,-0.36,0.00,0.00,8.62,12.32,0.00,-0.31,6318.90,-149.25,1266.89,1758.16,0.00,-0.08,1.08,-8.01,-4.52,-2.17,0.20,1228.15,0.00
CapitalNumbers,544343,,INE0WXM01011,IT - Software,Computers - Software & Consulting,77.75,7.06,1.11,189.92,74.98,0.16,-0.57,3.49,-1.11,20.00,26.47,0.00,0.55,102.21,10.74,35.65,86.59,0.31,,0.00,-81.45,-53.86,,,89.68,0.00
