Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Average return on capital employed 3Years,Average return on capital employed 5Years
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,434.80,23.78,3.79,1043.04,55.47,0.58,0.29,3.59,0.02,18.65,24.88,0.00,0.45,349.03,-37.89,58.80,77.08,0.03,,0.00,30.31,12.28,13.82,,26.50,25.01
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,885.45,25.42,5.24,10552.00,65.42,9.58,-0.82,1.84,0.08,22.90,31.70,0.00,0.66,3280.44,39.30,578.82,1640.47,0.00,-1.34,0.00,38.27,39.14,32.93,47.69,38.04,32.35
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,2923.80,67.25,14.48,23959.00,32.66,19.48,2.81,19.60,-2.10,24.05,31.56,0.02,1.09,1339.37,-238.17,485.99,589.28,0.00,-6.75,0.00,55.83,38.33,21.56,,22.49,22.35
AGI Infra,539042,AGIIL,INE976R01033,Realty,"Residential, Commercial Projects",382.90,50.45,10.30,4786.15,71.29,3.98,3.15,0.01,-0.01,24.98,20.11,0.40,1.97,352.54,-155.82,110.88,221.93,-1.65,-1.65,0.00,24.62,40.53,35.43,34.85,22.43,25.76
Alldigi Tech,532633,ALLDIGI,INE835G01018,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),828.05,14.32,5.03,1268.95,73.39,1.35,-0.16,1.44,0.01,34.72,30.34,0.68,0.60,598.68,13.01,112.92,488.39,0.00,0.00,0.00,23.82,20.58,24.24,11.25,30.82,27.94
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,3617.30,76.73,29.30,30035.68,43.12,5.78,-0.88,9.10,-0.35,45.30,57.47,0.08,2.36,1207.77,110.00,543.09,1128.32,0.00,-5.62,11.42,32.73,42.46,21.43,27.98,53.16,50.65
Astrazeneca Phar,506820,ASTRAZEN,INE203A01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,8800.00,105.55,27.53,21957.17,75.00,2.78,0.07,5.79,0.24,23.63,33.40,0.04,2.44,2177.45,488.56,285.51,357.10,0.00,0.00,0.00,43.27,19.45,31.40,26.39,31.81,28.34
Banco Products,500039,BANCOINDIA,INE213C01025,Auto Components,Auto Components & Equipments,624.75,18.79,5.47,8979.35,67.88,4.06,0.06,0.22,0.00,32.18,32.36,0.45,0.53,3672.29,85.28,660.30,794.99,0.00,0.00,0.00,35.59,38.94,18.31,20.30,28.38,25.47
Benares Hotels,509438,,INE664D01019,Leisure Services,Hotels & Resorts,10361.45,31.08,6.33,1346.99,62.58,0.02,0.00,0.01,0.00,22.49,29.80,0.02,1.36,139.14,94.88,58.58,175.14,0.00,0.01,0.00,22.82,59.39,26.18,17.69,35.90,30.44
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,421.85,50.87,12.85,308363.02,51.14,19.51,1.00,20.00,-0.47,27.58,36.53,0.00,1.90,27610.11,222.71,8059.69,12193.96,0.00,0.00,0.00,26.72,23.64,18.15,17.25,36.67,33.40
