date,universe,universe_count,advances,declines,unchanged,up_4pct,down_4pct,up_6pct,down_6pct,up_10pct,down_10pct,up_25pct_63d,down_25pct_63d,up_35pct_65d,down_35pct_65d,up_50pct_21d,down_50pct_21d,up_20pct_5d,down_20pct_5d,up_25pct_21d,down_25pct_21d,new_52w_high,new_52w_low,net_4pct,net_6pct,adv_ratio,extended_50dma,pct_extended_50dma,hl_ratio,pct_above_10dma,cover_10dma,pct_above_20dma,cover_20dma,pct_above_40dma,cover_40dma,pct_above_50dma,cover_50dma,pct_above_200dma,cover_200dma,t2108,pct_10dma_gt_20dma,pct_20dma_gt_50dma,pct_50dma_gt_200dma,nifty_close,niftynext50,midcap150_close,nifty500_close,nifty_chg_pct,div_bearish,div_bullish,net4_5d,ratio_5d,ratio_10d,thrust,zweig_ar10,zweig
2019-01-02,ALL,1193,319,830,44,29,32,18,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,-3,10,0.2674,0,,,,0,,0,,0,,0,,0,,,,,10792.5,27876.95,6274.92,9103.4,,False,False,,,,False,,False
2019-01-03,ALL,1195,335,812,48,25,42,12,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,0.2803,0,,,,0,,0,,0,,0,,0,,,,,10672.25,27674.65,6233.41,9014.79,-1.11,False,False,,,,False,,False
2019-01-04,ALL,1203,561,578,64,38,19,9,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0.4663,0,,,,0,,0,,0,,0,,0,,,,,10727.35,27719.5,6260.78,9054.9,0.52,False,False,,,,False,,False
2019-01-07,ALL,1201,593,557,51,61,21,20,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,40,15,0.4938,0,,,,0,,0,,0,,0,,0,,,,,10771.8,27706.6,6262.61,9081.15,0.41,False,False,,,,False,,False
2019-01-08,ALL,1190,548,590,52,49,28,22,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,21,12,0.4605,0,,,,0,,0,,0,,0,,0,,,,,10802.15,27689.1,6260.25,9098.65,0.28,False,False,60.0,1.42,,False,,False
2019-01-09,ALL,1193,454,668,71,43,21,16,2,8,0,0,0,0,0,0,0,9,2,0,0,0,0,22,14,0.3806,0,,,,0,,0,,0,,0,,0,,,,,10855.15,27683.5,6255.75,9127.45,0.49,False,False,85.0,1.65,,False,,False
2019-01-10,ALL,1229,582,587,60,42,24,16,8,6,2,0,0,0,0,0,0,9,0,0,0,0,0,18,8,0.4736,0,,,,0,,0,,0,,0,,0,,,,,10821.6,27798.2,6283.51,9119.4,-0.31,False,False,120.0,2.06,,False,,False
2019-01-11,ALL,1222,464,694,64,38,24,16,3,6,0,0,0,0,0,0,0,11,0,0,0,0,0,14,13,0.3797,0,,,,0,,0,,0,,0,,0,,,,,10794.95,27707.55,6277.63,9098.2,-0.25,False,False,115.0,1.97,,False,,False
2019-01-14,ALL,1226,403,772,51,38,25,14,6,4,2,0,0,0,0,0,0,6,0,0,0,0,0,13,8,0.3287,0,,,,0,,0,,0,,0,,0,,,,,10737.6,27514.85,6256.65,9051.45,-0.53,False,False,88.0,1.72,,False,,False
2019-01-15,ALL,1229,789,374,66,63,15,25,2,7,0,0,0,0,0,0,0,8,0,0,0,0,0,48,23,0.642,0,,,49.28,1175,,0,,0,,0,,0,,,,,10886.8,27712.6,6290.5,9157.15,1.39,False,False,115.0,2.06,1.7,False,0.4173,False
2019-01-16,ALL,1228,565,598,65,51,21,19,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,30,16,0.4601,0,,,52.16,1179,,0,,0,,0,,0,,,,,10890.3,27727.65,6280.0,9158.75,0.03,False,False,123.0,2.13,1.87,False,0.4366,False
