Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Net profit,Cash from operations last year,Net Profit last year
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,5.90,9.39,1.12,16.53,10.04,0.00,0.00,0.00,0.00,1.14,2.16,0.16,-0.38,27.96,-5.26,1.92,-23.69,0.00,-14.63,0.00,-8.68,39.89,33.39,21.39,1.76,3.05,0.33
Andhra Sugars,590062,ANDHRSUGAR,INE715B01021,Chemicals & Petrochemicals,Commodity Chemicals,86.84,11.63,0.72,1176.19,50.50,2.53,-0.16,0.00,0.00,2.51,3.54,0.00,-0.26,2328.94,32.36,149.51,984.30,0.56,3.43,1.02,-45.05,-26.80,-13.50,26.16,87.39,127.80,26.57
Aplab,517096,,INE273A01015,Electrical Equipment,Other Electrical Equipment,111.47,23.70,14.80,243.61,43.83,0.00,0.00,0.01,0.00,2.95,-8.82,1.42,-0.53,68.02,-333.08,7.35,16.86,0.00,-15.46,0.00,-49.09,15.67,10.51,7.25,10.28,1.89,0.26
Aries Agro,532935,ARIES,INE298I01015,Fertilizers & Agrochemicals,Fertilizers,364.55,10.89,1.48,474.67,52.66,3.25,0.34,0.00,0.00,12.26,18.38,0.21,0.30,695.74,8.93,78.68,361.53,0.00,0.00,0.00,36.40,24.78,18.14,7.08,43.25,105.26,33.49
Bharat Gears,505688,BHARATGEAR,INE561C01019,Auto Components,Auto Components & Equipments,113.30,13.14,1.43,172.80,55.33,1.41,0.02,0.03,0.00,-11.79,1.88,0.64,,748.75,6.15,33.31,226.84,0.00,0.01,0.00,,5.32,,,13.15,48.97,3.19
Bihar Sponge,500058,,INE819C01011,Ferrous Metals,Sponge Iron,13.13,8.81,,118.44,69.23,0.00,0.00,0.07,0.00,,11.38,,0.95,327.05,45.67,13.42,45.12,0.00,0.00,52.05,9.28,60.51,43.51,12.24,13.44,8.24,10.39
Brahmaputra Inf.,535693,,INE320I01017,Construction,Civil Construction,168.70,7.31,1.55,489.54,74.05,0.00,0.00,0.42,0.00,10.95,10.78,0.53,0.11,378.56,-25.22,96.51,-36.81,0.00,0.00,100.00,67.44,63.62,64.72,13.79,67.01,40.98,29.67
CIE Automotive,532756,CIEINDIA,INE536H01010,Auto Components,Auto Components & Equipments,461.45,20.20,2.35,17476.62,65.70,4.73,0.41,21.32,-0.32,11.80,14.74,0.06,0.16,9745.79,23.28,1159.32,5691.42,0.00,-3.19,0.00,127.46,53.74,7.58,18.61,871.15,1257.98,828.17
Covance Softsol,544361,,INE0R8101016,IT - Software,Computers - Software & Consulting,171.30,14.51,2.57,379.35,71.71,0.00,0.00,0.00,0.00,6.24,8.01,0.00,,127.47,,41.29,,0.03,,0.00,,,,,26.15,18.43,12.12
Credent Global,539598,,INE727C01024,Finance,Non Banking Financial Company (NBFC),29.54,6.91,2.00,181.55,26.03,15.86,15.57,0.00,0.00,3.34,5.77,0.15,0.10,42.59,-12.34,36.76,-44.97,-5.06,-20.09,0.00,60.18,67.73,71.23,56.17,26.27,9.12,2.17
