Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Industry PE
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,343.80,12.26,4.28,693.10,72.62,0.00,0.00,0.46,-0.10,45.36,55.94,0.27,0.08,688.95,-35.02,84.11,20.21,0.10,,0.00,-74.29,-50.03,,,35.69
Auto.Corp.of Goa,505036,,INE451C01013,Auto Components,Auto Components & Equipments,1943.95,16.36,3.84,1183.60,48.98,0.01,0.00,0.00,0.00,25.73,29.67,0.03,0.40,933.65,24.10,97.56,173.92,-0.79,-0.79,0.00,41.41,50.77,18.44,16.23,27.85
BLS Internat.,540073,BLS,INE153T01027,Leisure Services,"Tour, Travel Related Services",269.05,16.12,4.50,11067.55,70.39,6.14,-0.23,2.99,0.07,32.74,29.34,0.17,0.32,2998.22,20.50,820.38,2453.37,0.00,-4.02,0.00,50.09,68.66,37.13,36.30,39.57
Ceinsys Tech,538734,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,902.90,14.06,2.81,1889.10,50.88,10.25,5.92,0.19,-0.04,24.76,27.46,0.08,0.22,660.70,594.04,163.53,131.59,0.18,-7.74,12.44,47.54,105.00,54.46,30.27,20.98
Crizac,544439,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,223.99,17.87,6.70,3916.17,79.94,2.30,-0.18,3.48,0.00,40.28,52.34,0.00,0.70,1042.16,31.91,287.29,,0.00,,0.00,-51.68,-73.88,,,25.42
Diffusion Eng,544264,DIFFNKG,INE184O01015,Industrial Products,Other Industrial Products,323.35,23.75,2.99,1207.94,69.76,0.41,0.27,8.13,1.33,13.14,16.42,0.07,0.72,406.63,-185.29,67.88,74.10,0.06,,0.00,-38.25,-15.00,-8.54,,24.48
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrial Manufacturing,Industrial Products,191.30,20.78,2.62,1925.34,64.96,10.91,-1.10,3.15,-0.33,17.04,21.71,0.16,0.36,1525.32,-125.37,153.91,300.02,-0.10,,0.00,-46.82,-17.51,,,30.44
Federal-Mogul Go,505744,FMGOETZE,INE529A01010,Auto Components,Auto Components & Equipments,463.00,13.60,1.89,2581.40,74.98,0.38,-0.16,0.49,0.05,14.05,19.60,0.00,0.31,1928.57,21.09,278.30,853.89,0.00,0.00,0.00,44.31,37.99,9.47,15.36,27.85
Ganesh Green,,GGBL,INE0R8C01018,Electrical Equipment,Other Electrical Equipment,364.95,12.04,3.30,905.11,73.42,0.00,-1.41,0.76,0.21,31.76,36.81,0.18,0.11,1064.73,-51.42,103.59,-16.57,0.00,,0.00,-23.56,-12.75,,,28.49
Garuda Cons,544271,GARUDA,INE0JVO01026,Construction,Civil Construction,171.57,12.98,3.51,1590.41,67.56,2.64,0.30,0.48,-0.53,31.18,41.81,0.03,0.29,530.72,-61.83,166.87,-51.42,0.00,,0.00,-26.19,7.03,,,17.61
