Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years
B-Right Real,543543,,INE0IZQ01016,Realty,"Residential, Commercial Projects",950.00,27.92,5.56,981.46,73.15,1.40,0.00,0.00,0.00,22.13,21.77,1.06,0.16,167.79,-31.30,65.99,-15.67,0.99,1.23,31.76,178.91,56.19,,
California Soft.,532386,CALSOFT,INE526B01014,IT - Software,Computers - Software & Consulting,20.38,4.48,1.17,47.57,62.26,0.00,0.00,0.00,0.00,32.52,42.02,0.04,0.02,19.66,-20.58,14.33,-11.25,0.00,26.53,0.00,401.94,171.10,18.77,16.99
CFF Fluid,543920,,INE0NJ001013,Aerospace & Defense,Aerospace & Defense,753.90,40.34,5.94,1581.24,68.06,0.01,0.00,0.66,0.14,18.93,23.47,0.07,0.71,208.74,-54.27,53.40,-50.15,0.00,,0.00,38.01,39.78,,
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,471.85,8.16,1.51,3020.48,63.49,1.81,0.10,1.13,0.03,19.38,16.48,0.10,0.13,890.71,91.67,365.59,871.20,0.00,0.00,0.00,62.74,42.97,-36.24,
Dr Agarwal's Eye,526783,DRAGARWQ,INE934C01018,Healthcare Services,Hospital,4948.10,34.27,6.91,2402.50,72.67,2.20,0.38,2.12,-0.24,25.22,17.36,0.94,1.44,470.87,121.22,105.49,455.69,0.00,0.78,29.26,22.71,118.39,28.32,34.84
Emerald Finance,538882,,INE030Q01015,Finance,Non Banking Financial Company (NBFC),62.71,16.12,2.39,216.60,59.70,1.78,0.04,0.00,0.00,13.76,18.45,0.17,0.30,27.86,-27.13,20.85,-43.63,0.20,-8.10,0.00,44.87,42.54,45.19,55.87
Global Education,,GLOBAL,INE291W01037,Other Consumer Services,Education,101.68,24.19,4.48,517.57,72.73,0.40,-0.05,0.06,0.00,26.67,35.93,0.00,0.74,81.10,27.16,28.80,93.06,0.23,-0.43,0.00,32.74,25.90,21.77,14.08
Gyan Developers,530141,,INE487G01018,Realty,"Residential, Commercial Projects",59.18,13.76,3.80,17.75,64.86,0.00,0.00,0.00,0.00,22.43,32.01,0.00,0.14,3.61,22.01,1.70,2.47,0.00,0.01,0.00,100.00,74.11,31.66,22.13
India Finsec,535667,,INE474O01010,Finance,Non Banking Financial Company (NBFC),192.30,36.50,7.14,561.35,55.99,0.00,0.00,0.00,0.00,15.98,28.63,0.00,0.51,84.61,-9.66,62.59,-296.78,0.04,0.48,71.10,62.54,29.56,32.63,36.16
Indo Thai Sec.,533676,INDOTHAI,INE337M01021,Capital Markets,Stockbroking & Allied,238.90,39.37,4.61,2604.63,56.51,1.22,-0.06,0.49,0.30,28.57,34.58,0.09,0.30,103.81,-63.14,85.84,-51.69,-0.26,-15.67,0.00,174.33,64.08,91.44,34.34
